ucode,Univ.,QS-2018,QS-2019,QS-2020,USNews-2018,USNews-2019,SJ-2016,SJ-2017,SJ-2018,THE-2017,THE-2018,THE-2019
11740,Massachusetts Institute of Technology (MIT),1.0,1.0,1.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0
11778,Stanford University,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
11731,Harvard University,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0
35,University of Oxford,6.0,5.0,4.0,5.0,5.0,7.0,7.0,7.0,1.0,1.0,1.0
11712,California Institute of Technology - Caltech,4.0,4.0,5.0,6.0,6.0,8.0,9.0,9.0,2.0,3.0,5.0
36,ETH Zurich - Swiss Federal Institute of Technology,10.0,7.0,6.0,25.0,25.0,92.0,19.0,19.0,9.0,10.0,11.0
34,University of Cambridge,5.0,6.0,7.0,7.0,7.0,4.0,3.0,3.0,4.0,2.0,2.0
271,University College London,7.0,10.0,8.0,22.0,21.0,17.0,16.0,17.0,15.0,16.0,14.0
190,Imperial College London,8.0,8.0,9.0,17.0,18.0,22.0,27.0,24.0,8.0,8.0,9.0
11781,University of Chicago,9.0,9.0,10.0,14.0,14.0,10.0,10.0,10.0,10.0,9.0,10.0
11748,Nanyang Technological University,11.0,12.0,11.0,55.0,49.0,101.0,101.0,96.0,54.0,52.0,51.0
11751,National University of Singapore,15.0,11.0,11.0,43.0,38.0,83.0,91.0,85.0,24.0,22.0,23.0
11768,Princeton University,13.0,13.0,13.0,9.0,9.0,6.0,6.0,6.0,7.0,7.0,7.0
11718,Cornell University,14.0,14.0,14.0,23.0,23.0,13.0,14.0,12.0,19.0,19.0,19.0
11746,University of Pennsylvania,19.0,19.0,15.0,19.0,16.0,18.0,17.0,16.0,13.0,10.0,12.0
11803,Tsinghua University,25.0,17.0,16.0,64.0,50.0,58.0,48.0,45.0,35.0,30.0,22.0
11715,Yale University,16.0,15.0,17.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,8.0
11717,Columbia University,18.0,16.0,18.0,8.0,8.0,9.0,8.0,8.0,16.0,14.0,16.0
428,Swiss Federal Institute of Technology Lausanne,12.0,22.0,18.0,36.0,40.0,,,,30.0,38.0,35.0
43,The University of Edinburgh,23.0,18.0,20.0,30.0,27.0,41.0,32.0,32.0,,,
11758,University of Michigan,21.0,20.0,21.0,17.0,18.0,23.0,24.0,27.0,21.0,21.0,20.0
11760,Peking University,38.0,30.0,22.0,65.0,68.0,71.0,71.0,57.0,29.0,27.0,31.0
11796,The University of Tokyo,28.0,23.0,22.0,57.0,62.0,20.0,24.0,22.0,401.0,46.0,42.0
